words,weights
data,0.07779608369095464
skills,0.15986018271137367
dataiku,0.5958428976011919
language,0.09067606730897337
java,0.08650209265740214
software,0.08409670024464055
developer,0.13321640404435392
system,0.04419008564873672
ruby,0.10359261869069572
web,0.03284058187448829
programming,0.19364894172038738
source,0.42749155957692275
roi,0.3261280240169407
com,0.33696244738771175
net,0.06023128971884619
operating,0.05766806177160143
tools,0.09134867583507067
management,0.15175805729368794
languages,0.18252132566834384
open,0.09942769270965762
tech,0.21856803963399069
development,0.21374577978846138
shell,0.06872288112083358
business,0.2590591090454678
python,0.10176716783223781
unix,0.06784477855482521
server,0.02626157483256193
systems,0.05218151043252241
platform,0.20649483170599225
applications,0.024663995696914406
technology,0.10231767451022544
gild,0.38729788344077476
team,0.1090775195980917
oo,0.05198500263986643
code,0.10403222348981359
similar,0.04927842165306959
science,0.0961145548139746
glossary,0.26643280808870784
end,0.10641038149063446
using,0.09173308749192625
database,0.02402337243205949
projects,0.09955708672818755
time,0.16820047092445556
recruiters,0.21374577978846138
roles,0.19364894172038738
linux,0.050883583916118906
written,0.03353406717825807
rails,0.05477433840368831
developers,0.20649483170599225
windows,0.0800945302383353
sets,0.13106377675363962
learning,0.47957905455967414
asp,0.05179630934534786
inc,0.1123208157959039
javascript,0.04726890309147658
framework,0.026082052249756276
machine,0.4955875960943814
based,0.11384658419639977
microsoft,0.05080919269433041
perl,0.07461376849486712
www,0.1844534825229516
company,0.09991230303326544
sap,0.09453780618295315
tool,0.13713338550929974
html,0.05192813457916539
sql,0.03945184373912714
one,0.11658860715734258
engineer,0.061154077321714746
scripting,0.035493346837701105
mongo,0.02093214583361213
enterprise,0.14001365985609796
customer,0.18321066839010974
contact,0.12296898834863439
teams,0.17699557003370764
application,0.04533803365448669
processing,0.020384692440571582
scientist,0.23317721431468516
designed,0.014904029857003587
distributed,0.02235604478550538
apple,0.032765944188409904
set,0.08380373558901649
objective,0.030430188002049066
access,0.07046855913404117
skill,0.16257046677909168
developed,0.30729111699152084
mobile,0.1761713978351029
ios,0.08380373558901649
big,0.10485102140291168
large,0.09877214474727455
oracle,0.15878602532655756
os,0.02402337243205949
api,0.020645085683801124
php,0.05917776560869071
value,0.20649483170599225
initiatives,0.28499437305128184
technical,0.14779219651477007
level,0.1455589501538783
high,0.1709966238307691
design,0.02402337243205949
core,0.012149751574834684
project,0.22168829477215513
xml,0.019473050467187024
git,0.01865344212371678
world,0.1253653516773944
common,0.16626622107911634
back,0.1253653516773944
user,0.059831795491167024
redis,0.01155913594331262
products,0.05198500263986643
object,0.013099244991507058
oriented,0.015277479352281579
hardware,0.011571451752331976
work,0.1132530414654233
hadoop,0.01972592186956357
companies,0.1773506358177241
cocoa,0.042078755080854416
css,0.030430188002049066
services,0.018667789089815444
costs,0.23046833774364064
popular,0.11744759855673527
recruiting,0.23046833774364064
flash,0.06797446049646906
program,0.03810689452074781
integration,0.012702298173582602
http,0.017265436448449287
interface,0.06327182486463787
difficult,0.2154953200860424
cassandra,0.17649509041188458
model,0.10817441025244538
relational,0.013334135064153891
computer,0.018667789089815444
first,0.28834030885800715
related,0.22180023758308243
hiring,0.1601890604766706
android,0.08808569891755146
front,0.01284830160086516
devices,0.03854490480259548
family,0.012149751574834684
rdbms,0.01865344212371678
purpose,0.012011686216029745
get,0.24028359071500593
ajax,0.03245508411197837
apache,0.01865344212371678
free,0.10934776417351215
analysis,0.1972592186956357
mining,0.07393341252769413
databases,0.03730688424743356
clearcase,0.012172075200819626
html5,0.02434415040163925
markup,0.009873154642208466
control,0.009873154642208466
programs,0.012341443302760581
maven,0.025964067289582695
svn,0.01972592186956357
mysql,0.06311559298482382
term,0.13117106440019974
churn,0.18855840507528712
trust,0.2154953200860424
better,0.2154953200860424
able,0.1378732678709501
