company,location,title,job_desc,role
A-P-T Research,"Redstone Arsenal, AL",Software Safety Engineer,NA,software engineer
MVP Robotics,"Bradford, VT",Software Engineer - Robotics,"UI design & build for mobile and desktop applicationsSupport development efforts related to autonomy, motion control & wireless communicationsSupport/lead elements of MVP Robot embedded systems development including system architecture and hardware/software interfaceDesign and implement communications protocols between subsystemsContribute to high‐level planning and product definitionProficient in a Range of Programming Languages: C, C++, PythonLinuxApp Development: iOS, Android, ATAKMicrocontrollers & Embedded SystemsFPGAControl SystemsMotion Control & AutomationNetworking & RF CommunicationsPCB/Hardware DesignPower ElectronicsComputer VisionLIDARLocalization SystemsSensor FusionData Acquisition & AnalysisMAVLinkRC Car/CopterEffective communicatorForward thinking, proactive, motivatedEager to learn and quickly apply new skillsEngineering: 2 years (Preferred)Robotics: 2 years (Preferred)Bachelor's (Required)United States (Required)If you do not wish to be considered for positions whose activities are subject to the Export Control Laws, then you may skip the following questions. If you do wish to be considered for positions whose activities are subject to the Export Control Laws, then you must answer these questions:One locationPaid time offFlexible scheduleOtherNoNo: Not providing sponsorship for this jobDependable -- more reliable than spontaneousAdaptable/flexible -- enjoys doing work that requires frequent shifts in directionDetail-oriented -- would rather focus on the details of work than the bigger pictureAchievement-oriented -- enjoys taking on challenges, even if they might failAutonomous/Independent -- enjoys working with little directionInnovative -- prefers working in unconventional ways or on tasks that require creativityHigh stress tolerance -- thrives in a high-pressure environmentA job for which military experienced candidates are encouraged to applyMonday to Fridaywww.mvprobotics.comhttps://www.facebook.com/MVPdummyNo",software engineer
Tynker,"Mountain View, CA",Software Engineer - Minecraft Development,"Create awesome Minecraft experiences for young codersUse the Spigot API and Tynker’s internal tools to support a modding solution with Minecraft Java server hostingUse Add-ons in conjunction with Tynker's internal web-based tools to support a modding platform for Minecraft Win 10 and Pocket PC (Bedrock)Develop mods for both Minecraft Java and Minecraft Bedrock EditionsMaintain Tynker's 3D resource and behavior editing tools to stay up-to-date with the latest Minecraft patches and featuresInvent and implement new games and mod ideas for Minecraft
Expand Tynker’s integration with all different versions of MinecraftBS/MS degree in Computer Science3+ years of Java development, with experience in Java 8Strong object oriented fundamentals with prior experience in Java or C++Full grasp of HTML, CSS, JavaScript, and AJAX-based JSON/XML web servicesDeep game-play knowledge of Minecraft, and what makes it fun!Experience with modding Minecraft: Java Edition and Bedrock.Must have built custom entities, blocks, skins, add-ons, resource and behavior packsIn-depth understanding of 3D coordinate systems (transforms, geometry, etc.)Ability to quickly adapt and learn to work within an unfamiliar codebaseDemonstrated ability to be self-driven and work with minimal supervisionKnowledge of the Spigot API and Bedrock add-ons is a big plusKnowledge of 3D modeling is a plusExperience with textures (UV coordinates, materials, shaders, etc) is a plus",software engineer
Computer Services Incorporated,"Valparaiso, IN",Software Engineer-Implementations,Develop and maintain conversion softwareWork closely with Implementation Specialists who will provide field mappingPrepare documentation for assigned projectsStrong time-management and organizational skillsStrong problem solving and analytical skillsCollege degree or equivalent experience in software developmentGood written and verbal communication skillsAbility to work independently and in a team environmentDetail-orientedCOBOL experience is a plus.NET knowledge is a plus,software engineer
"Intertech, Inc","San Francisco, CA",.NET Software Engineer - Remote,"Contract to hire or direct placement100% RemoteExperience with React, TypeScript, JavaScriptExperience with C#Experience with Business Process Management systems, Sapiens and Appian are a plus
.Net Core experience a plusWeb API experienceScrum experienceAzureQuick paymentsWe only do AppDev consulting and have a continual pipeline of new project opportunitiesProactive communicationsSupport - If you're successful, we are successful",software engineer
GEICO,"Chevy Chase, MD",Senior Software Engineer,"Manage system integrations within the architecture of the Workday Finance systemProvide support for Workday inbound and outbound integration issues, changes to existing integrations and develop new integrationsProvide support for incident management and integration monitoringPerform routine break/fix support and regression testing and support the inbound/outbound interfaces to the systemsEnsure accuracy and integrity of data and applications through analysis, coding, clear documentation and problem resolutionAnalyze and translate business and functional specifications and change requests into technical specificationsEnsure integrations function as designed based on functional and technical requirements
Consult with business and technical teams about interface design and maintenance; collaborate on design decisionsDesign and develop interfaces and conduct unit and integration testsUnderstand and follow Data Governance and ensure attention to data qualityUnderstand and follow defined integration/development standards and best practicesUnderstand and ensure security and data privacy standardsExperience with designing and implementing ETL processes and the use of ETL toolsAbility to work and coordinate with third parties on data related inquiriesExperience with interface, networking, and data warehousing technologies, as well as design, relational database technologies, and performance tuning
Experience with Web Services and APIs (WSDL, SOAP, REST and WS standards)Strong technical experience with XML and XLSTKnowledge of Workday implementation tools (Enterprise Interface Builder (EIB), Workday Studio, Workday Report Writer, and iLoad)Understand basic database architecture, tables, functional interactions, and recognize and understand impacts to downstream systemsExcellent verbal and written communication skills to effectively interact with team members and leadershipStrong attention to detail, problem solving, troubleshooting and analytical skillsAbility to work effectively in a fast-paced environment and handle both planned and unplanned responsibilitiesAbility to prioritize workload and execute tasks independently, providing timely follow-up and resolutionAbility to work independently and in a team-oriented, collaborative environmentStrong oral and written communicationBachelor’s Degree in relevant technical field (Information Technology, Computer Science, Software, Engineering or related technical discipline) or equivalent combination of training and work experience3+ years of experience in interface architecture including Web Services and APIsExperience in Workday Financials or Human Capital Management or Payroll modulesWorkday Integrations experience with Core Connectors, Studio, Web ServicesExperience in Workday Reporting including calculated fields401(k) and profit-sharing plansMedical, dental, vision and life insurancePaid vacation, holidays and leave programsTuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dressFitness and dining facilities (at most locations)Associate clubs and sports teamsVolunteer opportunities
GEICO Federal Credit Union
Benefit offerings for positions other than full-time may vary.",software engineer
Driven Deliveries,"El Segundo, CA",Full Stack Software Engineer (React),ReactJS: 2 years (Preferred)Node.js: 2 years (Preferred)Software Development: 3 years (Required)United States (Required),software engineer
ManTech International Corporation,"Aberdeen, MD",Software Engineer TACNET,"Provide the essential software support for the Tactical network components including the configuration of the hardware devices and virtual machines, testing new software and designing the structure of the network.Determine operational feasibility by evaluating analysis, problem definition, requirements, and proposed solutionDocument and demonstrate solutions by developing software code and supporting documentation with a focus on performance tuning, improvement, usability, and automationSolve IT engineering problems or managing the solution of the engineer problems in the functional area assigned.Integrate software with existing systemsTest the Windows and Unix operating system software, networking software and computer hardware.Provide support in resolving system / network issues with other teams.Ensure long-term requirements of systems operations and administration are included in the overall information systems planning of the organization.Handle the installation, maintenance, configuration, and integrity of computer software.Implement operating system enhancements that will improve the reliability and performance of the system.Administer, operate, manage, establish, configure, optimize, and monitor enterprise level applications and tools for monitoring management.Administer network monitoring capabilities using government-provided monitoring tools (Orion Solarwinds, Microsoft SCOM, NetIQ AppManager) on large classified and unclassified network enterprises.Assist the government with planning, setup, deployment, upgrade, maintenance and migration of network monitoring capabilities on large network enterprises.Provide technical expertise in troubleshooting alerts/incidents, resolving issues based on mission priorities and working with PMOs / vendors to obtain support as required.Support the remediation of network vulnerabilities.Requires a Bachelor's Degree or equivalent in related field and 7 to 9 years of relevant work experience.Requires a Security + CE certification.Must have knowledge of TCP/IP, information security / authorization profiles, or system administration of Unix and Windows systems.Experience with Windows server systems administration, database management, general networking knowledge, basic understanding of Microsoft SQL and ability to troubleshoot / analyze data using information from multiple sources are required.Requires solid technical, communications and collaboration skills.Requires solid understanding of large-scale data center and network architectures, monitoring and fault management.Operational knowledge of the software development lifecycle.Experience in writing and performing software test plans / procedures.Scripting or coding experience – PowerShell preferred.Operational knowledge of Virtual Machine environments.Experience with automated testing applications.Strong technical documentation skills.Good communication and time management.Experience with military tactical communications systems is a plus.Linux and / or Microsoft computing environment knowledge / expertise.Software Development Life Cycle: 1 year (Preferred)Post Deployment Software Support (PDSS): 1 year (Preferred)DevOps: 1 year (Preferred)CompTIA Security+ (Preferred)Secret (Required)One locationHealth insuranceDental insuranceVision insuranceSigning bonusPaid time offFlexible scheduleRelocation assistanceProfessional development assistanceTuition reimbursementOtherDependable -- more reliable than spontaneousPeople-oriented -- enjoys interacting with people and working on group projectsDetail-oriented -- would rather focus on the details of work than the bigger pictureInnovative -- prefers working in unconventional ways or on tasks that require creativityInnovative -- innovative and risk-takingStable -- traditional, stable, strong processesPeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeA job for which military experienced candidates are encouraged to applyOpen to applicants under 18 years old, provided it is legally allowed for the job and locationMonday to FridayWaiting period may applyOnly full-time employees eligibleNo",software engineer
Algorand,"Boston, MA",Software Engineer (All Levels),"Devise innovative ideas for solving hard technical problems involving distributed systems, scale and security and translate these ideas into technical designs and implementationBe a hands-on coder applying the best industry standards for code health, security, scalability, and robustnessBe a key part of an inclusive environment that fosters collaboration and creativity both internally and externallyBachelor’s in Computer Science or a related technical field (level and depth of responsibilities will be adjusted for Master’s/PhD in Computer Science or a related technical field)Two-plus years of experience working on and shipping complex applications as part of a team; advanced education will be considered (in extraordinary cases)Experience in any of the following: distributed systems, secure coding, network coding, performance optimizationsExperience with one or more general purpose programming languages including but not limited to: Go, Java, C/C++, C#, and RustExperience contributing to major open source software projects will be considered favorablyExperience as a technical influencer for highly scalable distributed system designs preferredAbility to work in-office during regular business hours",software engineer
Arch Convergence,"Concord, MA",Software Engineer,NA,software engineer
